Date,Details,Transaction Type,Price
09/30/2020,VENMO            PAYMENT,Electronic Debit,-11.66
09/30/2020,Acorns Invest    Transfer,Electronic Debit,-5.50
09/30/2020,VENMO            PAYMENT,Electronic Debit,-1.41
09/30/2020,VENMO            PAYMENT,Electronic Debit,-1.31
09/29/2020,VENMO            PAYMENT,Electronic Debit,-18.58
09/29/2020,VENMO            PAYMENT,Electronic Debit,-12.65
09/29/2020,VENMO            PAYMENT,Electronic Debit,-1.85
09/28/2020,VENMO            PAYMENT,Electronic Debit,-25.67
09/28/2020,VENMO            PAYMENT,Electronic Debit,-19.26
09/28/2020,VENMO            PAYMENT,Electronic Debit,-2.71
09/28/2020,VENMO            PAYMENT,Electronic Debit,-2.17
09/28/2020,VENMO            PAYMENT,Electronic Debit,-1.83
09/28/2020,PAYPAL *HCKOWALHC EBAY,Debit Card,-7.00
09/28/2020,PAYPAL *TRUSCRAFT SHOP,Debit Card,-9.99
09/28/2020,CASH APP*MARK PINTO,Debit Card,-100.00
09/28/2020,VENMO,Debit Card,-6.86
09/28/2020,APPLE.COM/BILL,Debit Card,-8.59
09/28/2020,OSUBUCKID 614-292-0400,Debit Card,-20.00
09/25/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.70
09/25/2020,VENMO            PAYMENT,Electronic Debit,-18.32
09/25/2020,VENMO            PAYMENT,Electronic Debit,-2.02
09/25/2020,UNITED DAIRY FAR,ATM/POS 206,-6.40
09/25/2020,RIOT* LW0PWLDMDFN5,Debit Card,-23.44
09/25/2020,MONEYSEND TRANS     Cash App*C,Credit 6580,5.75
09/25/2020,MONEYSEND TRANS     Cash App*C,Credit 7814,20.68
09/24/2020,VENMO            PAYMENT,Electronic Debit,-17.79
09/24/2020,VENMO            PAYMENT,Electronic Debit,-2.04
09/24/2020,Money Received from MONIQUE YI,Direct Deposit,400.00
09/23/2020,VENMO            PAYMENT,Electronic Debit,-18.99
09/23/2020,Acorns Invest    Transfer,Electronic Debit,-5.10
09/23/2020,VENMO            PAYMENT,Electronic Debit,-2.17
09/23/2020,CHEGG  ORDER,Debit Card,-16.07
09/22/2020,VENMO            PAYMENT,Electronic Debit,-21.77
09/22/2020,VENMO            PAYMENT,Electronic Debit,-15.94
09/22/2020,VENMO            PAYMENT,Electronic Debit,-1.69
09/21/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.71
09/21/2020,VENMO            PAYMENT,Electronic Debit,-34.27
09/21/2020,VENMO            PAYMENT,Electronic Debit,-22.73
09/21/2020,VENMO            PAYMENT,Electronic Debit,-3.68
09/21/2020,VENMO            PAYMENT,Electronic Debit,-2.27
09/21/2020,RIOT*LOL,Debit Card,-23.74
09/18/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.71
09/18/2020,VENMO            PAYMENT,Electronic Debit,-7.88
09/18/2020,VENMO            PAYMENT,Electronic Debit,-2.12
09/18/2020,RIOT* LW0LDPF50DZB,Debit Card,-23.76
09/17/2020,VENMO            PAYMENT,Electronic Debit,-16.65
09/17/2020,VENMO            PAYMENT,Electronic Debit,-1.88
09/17/2020,VENMO            PAYMENT,Electronic Debit,-1.76
09/16/2020,VENMO            PAYMENT,Electronic Debit,-18.90
09/16/2020,VENMO            PAYMENT,Electronic Debit,-18.82
09/16/2020,VENMO            PAYMENT,Electronic Debit,-1.89
09/16/2020,DEPOSIT,Deposit,80.00
09/16/2020,DEPOSIT,Deposit,200.00
09/15/2020,VENMO            PAYMENT,Electronic Debit,-20.59
09/15/2020,VENMO            PAYMENT,Electronic Debit,-2.25
09/15/2020,STEAMGAMES.COM42595229,Debit Card,-7.50
09/14/2020,VENMO            PAYMENT,Electronic Debit,-22.43
09/14/2020,VENMO            PAYMENT,Electronic Debit,-18.81
09/14/2020,VENMO            PAYMENT,Electronic Debit,-2.54
09/14/2020,VENMO            PAYMENT,Electronic Debit,-2.28
09/14/2020,BPMSUPREME.COM,Debit Card,-19.99
09/14/2020,VENMO,Debit Card,-2.29
09/14/2020,STEAMGAMES.COM42595229,Debit Card,-10.00
09/11/2020,VENMO            PAYMENT,Electronic Debit,-17.68
09/11/2020,VENMO            PAYMENT,Electronic Debit,-2.06
09/11/2020,AMAZON.COM*MU7XH2KG2,Debit Card,-31.15
09/10/2020,INTERNATIONAL TRANSACTION FEE,Fee,-2.75
09/10/2020,VENMO            PAYMENT,Electronic Debit,-20.16
09/10/2020,VENMO            PAYMENT,Electronic Debit,-2.01
09/10/2020,Subscription     Acorns,Electronic Debit,-2.00
09/10/2020,BITSKINS,Debit Card,-91.64
09/10/2020,STEAMGAMES.COM 4259522,Debit Card,-5.29
09/08/2020,VENMO            PAYMENT,Electronic Debit,-22.20
09/08/2020,VENMO            PAYMENT,Electronic Debit,-20.52
09/08/2020,VENMO            PAYMENT,Electronic Debit,-12.74
09/08/2020,VENMO            PAYMENT,Electronic Debit,-3.62
09/08/2020,VENMO            PAYMENT,Electronic Debit,-3.52
09/08/2020,VENMO            PAYMENT,Electronic Debit,-1.91
09/08/2020,XSOLLA *FACEIT PNE,Debit Card,-6.46
09/04/2020,XSOLLA *ESEA SUB,Debit Card,-7.37
09/02/2020,VENMO            PAYMENT,Electronic Debit,-15.74
09/02/2020,Acorns Invest    Transfer,Electronic Debit,-5.29
09/02/2020,VENMO            PAYMENT,Electronic Debit,-1.87
