Date,Details,Transaction Type,Price
12/31/2020,AMAZON.COM*TH2MY4DR3,Debit Card,-95.39
12/29/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.18
12/29/2020,WWW.G2G.COM,Debit Card,-5.87
12/29/2020,INTERNET TFR FRM SAVINGS,Transfer,50.00
12/14/2020,Money Received from MONIQUE YI,Direct Deposit,21.00
12/10/2020,Subscription     Acorns,Electronic Debit,-2.00
12/10/2020,AMZN MKTP US*JU0GW8R53,Debit Card,-21.15
12/10/2020,AMAZON.COM*PY9UF5713 A,Debit Card,-87.20
12/07/2020,COINBASE INC.    8889087930,Electronic Debit,-10.00
12/07/2020,VENMO            CASHOUT,Direct Deposit,5.00
12/07/2020,INTERNET TFR FRM SAVINGS,Transfer,100.00
12/04/2020,PAYPAL *CDKEYS.COM,Debit Card,-33.19
12/04/2020,Acorns Invest    Transfer,Direct Deposit,5.07
12/04/2020,VENMO            CASHOUT,Direct Deposit,35.70
12/03/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.39
12/03/2020,DHVFNC.COM,Debit Card,-12.99
12/03/2020,PAYPAL *POD JUICE,Debit Card,-37.55
12/03/2020,MERCHANDISE RET     DHVFNC.COM,Debit Card,12.99
12/03/2020,INTERNET TFR FRM SAVINGS,Transfer,30.00
12/02/2020,PAYPAL           INST XFER,Electronic Debit,-100.00
12/02/2020,INTERNET TFR TO  SAVINGS,Transfer,-30.00
12/02/2020,INTERNET TFR TO  SAVINGS,Transfer,-170.00
12/02/2020,DISCOVER         CASH AWARD,Direct Deposit,71.21
12/02/2020,Acorns Invest    Transfer,Direct Deposit,133.57
12/01/2020,SPOTIFY USA,Debit Card,-5.37
12/01/2020,INTERNET TFR FRM SAVINGS,Transfer,100.00
